zip_code,zcta_hhi
46030,91927
46031,73583
46032,123438
46033,150529
46034,90795
46037,137969
46038,105092
46040,144834
46052,66828
46055,116811
46060,91141
46062,116834
46069,70784
46071,81755
46074,123580
46075,118839
46077,160868
46102,65000
46103,76875
46106,106914
46107,57377
46112,113293
46113,85510
46118,77480
46121,87394
46122,94290
46123,102989
46124,67926
46131,81914
46142,85611
46143,89401
46147,72031
46149,86625
46158,79877
46160,72003
46162,115395
46164,92235
46165,88348
46167,123390
46168,87315
46180,79886
46181,85625
46184,90250
46201,43183
46202,61082
46203,55375
46204,88081
46205,65756
46208,55435
46214,58863
46216,56838
46217,88326
46218,34635
46219,57811
46220,103735
46221,58316
46222,45198
46224,53731
46225,47917
46226,47086
46227,50993
46228,95574
46229,62982
46231,76823
46234,83137
46235,56160
46236,117530
46237,76676
46239,92160
46240,70728
46241,51598
46250,69591
46254,57825
46256,86529
46259,129615
46260,70642
46268,63322
46278,153930
46280,84561
