SDF_ID,county,year,month,sale_date,sale_price,dom_reported,data_year,zip_code,price_segment
C06-2021-0025432,Boone,2021,1,2021-01-07,210000.0,0,2021,46077,entry
C06-2021-0025441,Boone,2021,1,2021-01-07,85000.0,0,2021,46052,entry
C06-2021-0025442,Boone,2021,1,2021-01-07,147500.0,0,2021,46052,entry
C06-2021-0025443,Boone,2021,1,2021-01-08,385000.0,0,2021,46077,move_up
C06-2021-0025449,Boone,2021,1,2021-01-08,200000.0,0,2021,46052,entry
C06-2021-0025456,Boone,2021,1,2021-01-12,165000.0,0,2021,46077,entry
C06-2021-0025457,Boone,2021,1,2021-01-12,219990.0,0,2021,46052,entry
C06-2021-0025458,Boone,2021,1,2021-01-11,412000.0,0,2021,46077,move_up
C06-2021-0025458,Boone,2021,1,2021-01-11,412000.0,0,2021,46077,move_up
C06-2021-0025461,Boone,2021,1,2021-01-08,145000.0,0,2021,46052,entry
C06-2021-0025463,Boone,2021,1,2021-01-08,274190.0,0,2021,46075,entry
C06-2021-0025464,Boone,2021,1,2021-01-08,260000.0,0,2021,46077,entry
C06-2021-0025466,Boone,2021,1,2021-01-11,310000.0,0,2021,46077,entry
C06-2021-0025468,Boone,2021,1,2021-01-08,175000.0,0,2021,46077,entry
C06-2021-0025470,Boone,2021,1,2021-01-11,315000.0,0,2021,46052,entry
C06-2021-0025473,Boone,2021,1,2021-01-11,295000.0,0,2021,46077,entry
C06-2021-0025474,Boone,2021,1,2021-01-08,530000.0,0,2021,46077,move_up
C06-2021-0025475,Boone,2021,1,2021-01-08,550000.0,0,2021,46077,move_up
C06-2021-0025477,Boone,2021,1,2021-01-12,175000.0,0,2021,46077,entry
C06-2021-0025478,Boone,2021,1,2021-01-13,800000.0,0,2021,46077,move_up
C06-2021-0025479,Boone,2021,1,2021-01-13,263000.0,0,2021,46077,entry
C06-2021-0025480,Boone,2021,1,2021-01-13,131500.0,0,2021,46077,entry
C06-2021-0025481,Boone,2021,1,2021-01-13,230000.0,0,2021,46052,entry
C06-2021-0025483,Boone,2021,1,2021-01-15,133000.0,0,2021,46069,entry
C06-2021-0025484,Boone,2021,1,2021-01-15,275000.0,0,2021,46052,entry
C06-2021-0025487,Boone,2021,1,2021-01-08,378535.0,0,2021,46075,entry
C06-2021-0025490,Boone,2021,1,2021-01-12,197500.0,0,2021,46075,entry
